customer_id,age,total_spent,num_orders,avg_order_value,days_since_last_order,avg_session_duration_min,avg_pages_per_session,discount_usage_rate,num_support_tickets,loyalty_points,region,device_type,payment_method,acquisition_channel,membership_tier,customer_segment
CUST00001,37,419.45244033228437,24.0,97.73053327654061,10.556166809740077,16.12196534931419,15.170864455730744,0.15680889793411723,0,1007.0,North America,desktop,paypal,referral,gold,Loyal
CUST00002,34,3381.4464863725048,34.0,212.63320473277096,3.5997808591255485,34.400650702093856,26.478435045374354,0.0,0,5757.0,Eastern Europe,desktop,bank_transfer,direct,,VIP
CUST00003,42,292.49637484315565,8.0,62.31972077619408,80.91222618283074,9.516169314348941,3.3724801379307254,,4,223.0,North America,mobile,credit_card,organic_search,silver,At-Risk
CUST00004,18,578.9630416227353,8.0,67.53500083513141,70.68733158503079,8.967296772306709,6.440625519365455,0.757970297306049,-1,578.0,Western Europe,tablet,crypto,organic_search,silver,At-Risk
CUST00005,30,220.74071918053355,10.0,402.94874133211,100.61251435117484,6.758796892407402,8.278601237289656,0.7275442539341848,2,542.0,Eastern Europe,mobile,paypal,paid_ads,platinum,At-Risk
CUST00006,25,778.1085603381878,154.54953050838125,56.72594269235306,0.0,12.609927707397595,8.329653196615295,0.3916618459715557,2,832.0,North America,desktop,gift_card,social_media,platinum,Loyal
CUST00007,35,902.2397193118893,46.0,61.22413980120938,,14.883564627958627,10.123359040889,0.4298093507914903,0,1067.0,Eastern Europe,desktop,credit_card,direct,platinum,Loyal
CUST00008,47,382.0863464198363,6.0,35.9672448819351,84.33393452086571,-1.2360925541301064,9.766223131459927,,0,429.0,Eastern Europe,mobile,paypal,referral,silver,At-Risk
CUST00009,31,621.8562479929371,29.0,123.30391569083426,35.11293746655218,16.80881198117955,16.90022418892378,0.24141329934415967,2,728.0,Western Europe,mobile,crypto,referral,gold,Loyal
CUST00010,22,308.8892918799697,0.0,23.81233529388782,300.7435947880948,5.306375007872253,2.3900535625738,0.6938721319241548,5,4.0,North America,desktop,crypto,social_media,none,Churned
